r_com,min_contact,E_total,internal_E,ml_2b_E,mm_E,mm_vdw_E,mm_elec_E,wall_E
5.8813559,3.4373717,-81.723923,-81.686241,-0.0001974617,-0.037484922,-0.018450407,-0.019034572,0
6.0423729,3.5825575,-81.71991,-81.686241,0,-0.033671305,-0.015797118,-0.01787398,0
6.2033898,3.7290434,-81.716438,-81.686241,0,-0.030198997,-0.013483454,-0.016715536,0
6.3644068,3.8766821,-81.713417,-81.686241,0,-0.027173035,-0.011533028,-0.015640011,0
6.5254237,4.0253468,-81.710777,-81.686241,0,-0.024533577,-0.0098905126,-0.014643061,0
6.6864407,4.1749278,-81.708466,-81.686241,0,-0.022226039,-0.0085064815,-0.013719557,0
6.8474576,4.32533,-81.70639,-81.686188,0,-0.020203438,-0.0073383581,-0.012865034,0
7.0084746,4.4764708,-81.704666,-81.686241,0,-0.0184245,-0.0063502085,-0.012074322,0
7.1694915,4.6282778,-81.703041,-81.686188,0,-0.016854407,-0.0055120476,-0.011342417,0
7.3305085,4.7806874,-81.70182,-81.686356,0,-0.015463176,-0.0047989707,-0.010664191,0
7.4915254,4.9336439,-81.700775,-81.686546,0,-0.014225807,-0.0041903253,-0.010035633,0
7.6525424,5.0870979,-81.699478,-81.686356,0,-0.013120526,-0.0036689555,-0.0094515933,0
7.8135593,5.2410057,-81.698677,-81.686546,0,-0.012127752,-0.0032205507,-0.0089071728,0
7.9745763,5.3953284,-81.697586,-81.686356,0,-0.011230323,-0.0028330963,-0.008397283,0
8.1355932,5.5500316,-81.69696,-81.686546,0,-0.010412606,-0.0024964274,-0.0079161776,0
8.2966102,5.7050841,-81.696014,-81.686356,0,-0.0096598174,-0.0022018761,-0.0074579199,0
8.4576271,5.8604584,-81.695503,-81.686546,0,-0.0089567574,-0.0019420028,-0.007014716,0
8.6186441,6.0161294,-81.694649,-81.686356,0,-0.0082895737,-0.0017103985,-0.0065791626,0
8.779661,6.1720747,-81.694191,-81.686546,0,-0.0076435222,-0.0015015674,-0.0061418312,0
8.940678,6.328274,-81.693359,-81.686356,0,-0.0070047905,-0.0013108682,-0.0056939539,0
9.1016949,6.484709,-81.693024,-81.686661,0,-0.0063610962,-0.0011345102,-0.0052265157,0
9.2627119,6.641363,-81.692055,-81.686356,0,-0.0057011498,-0.00096960046,-0.004731514,0
9.4237288,6.7982209,-81.691681,-81.686661,0,-0.0050180233,-0.00081421254,-0.004203904,0
9.5847458,6.9552689,-81.690552,-81.686241,0,-0.0043094219,-0.00066746987,-0.0036419278,0
9.7457627,7.1124944,-81.690239,-81.686661,0,-0.0035801637,-0.00052960723,-0.0030505687,0
9.9067797,7.2698858,-81.689087,-81.686241,0,-0.0028437926,-0.00040198505,-0.0024418507,0
10.067797,7.4274327,-81.688782,-81.686661,0,-0.0021236222,-0.00028698603,-0.0018366582,0
10.228814,7.5851253,-81.687691,-81.686241,0,-0.0014525353,-0.00018776979,-0.001264767,0
10.389831,7.7429547,-81.687531,-81.686661,0,-0.0008711376,-0.00010777813,-0.00076337106,0
10.550847,7.9009128,-81.686661,-81.686241,0,-0.00042138138,-4.9919126e-05,-0.00037145786,0
10.711864,8.058992,-81.6866,-81.686462,0,-0.00013501901,-1.5323862e-05,-0.00011969174,0
10.872881,8.2171852,-81.686256,-81.686241,0,-1.4074187e-05,-1.5310563e-06,-1.2542993e-05,0
11.033898,8.3754861,-81.686462,-81.686462,0,0,0,0,0
11.194915,8.5338885,-81.686241,-81.686241,0,0,0,0,0
11.355932,8.6923871,-81.686462,-81.686462,0,0,0,0,0
11.516949,8.8509766,-81.686241,-81.686241,0,0,0,0,0
11.677966,9.0096522,-81.686462,-81.686462,0,0,0,0,0
11.838983,9.1684094,-81.686241,-81.686241,0,0,0,0,0
12,9.3272441,-81.686462,-81.686462,0,0,0,0,0
