ray,direction,orientation,r_com,E_ml,E_charmm,E_xtb
147,6,3,7.2000,-0.012809753,nan,-0.015816478
147,6,3,7.4000,-0.010971069,nan,-0.013144451
147,6,3,7.6000,-0.0081062317,nan,-0.010799067
147,6,3,7.8000,-0.0059738159,nan,-0.0087830139
147,6,3,8.0000,-0.0049667358,nan,-0.0070835529
147,6,3,8.2000,-0.0036582947,nan,-0.0056731537
147,6,3,8.4000,-0.003288269,nan,-0.0045158206
147,6,3,8.6000,-0.0019874573,nan,-0.0035734379
147,6,3,8.8000,-0.0017356873,nan,-0.0028099536
147,6,3,9.0000,-0.0013122559,nan,-0.0021933641
147,6,3,9.2000,-0.00064086914,nan,-0.0016962582
147,6,3,9.4000,-2.6702881e-05,nan,-0.0012956503
147,6,3,9.6000,-0.00014877319,nan,-0.00097255433
147,6,3,9.8000,0.00040817261,nan,-0.00071149865
147,6,3,10.0000,0,nan,-0.00050004786
29,1,5,3.0000,4.6247482,nan,17.438043
29,1,5,3.2000,1.0334129,nan,9.8115405
29,1,5,3.4000,-1.3644753,nan,6.6911312
29,1,5,3.6000,-0.18893433,nan,4.5811198
29,1,5,3.8000,0.57150269,nan,2.7326023
29,1,5,4.0000,0.2563324,nan,1.3708425
29,1,5,4.2000,0.19641113,nan,0.58788178
29,1,5,4.4000,0.20912552,nan,0.21467353
29,1,5,4.6000,0.092208862,nan,0.058197089
29,1,5,4.8000,0.025608063,nan,-0.00073283972
29,1,5,5.0000,0.0077552795,nan,-0.019456912
29,1,5,5.2000,-0.0023994446,nan,-0.022734192
29,1,5,5.4000,-0.013126373,nan,-0.0207611
29,1,5,5.6000,-0.021495819,nan,-0.017572232
29,1,5,5.8000,-0.019748688,nan,-0.014394483
29,1,5,6.0000,-0.015617371,nan,-0.011463516
29,1,5,6.2000,-0.012744904,nan,-0.0088396561
29,1,5,6.4000,-0.0096817017,nan,-0.0065595974
29,1,5,6.6000,-0.0080490112,nan,-0.0046376402
29,1,5,6.8000,-0.0061531067,nan,-0.0030627548
29,1,5,7.0000,-0.0048065186,nan,-0.0018039907
29,1,5,7.2000,-0.0035972595,nan,-0.00081941617
29,1,5,7.4000,-0.0032272339,nan,-6.4165106e-05
29,1,5,7.6000,-0.0026855469,nan,0.00050427194
29,1,5,7.8000,-0.0018768311,nan,0.00092342641
29,1,5,8.0000,-0.00088500977,nan,0.0012250448
29,1,5,8.2000,-0.0011177063,nan,0.0014352521
29,1,5,8.4000,-0.00022888184,nan,0.0015751317
29,1,5,8.6000,-0.0004196167,nan,0.0016614365
29,1,5,8.8000,-0.00036239624,nan,0.0017073079
29,1,5,9.0000,-0.00035858154,nan,0.0017229464
29,1,5,9.2000,3.8146973e-05,nan,0.001716209
29,1,5,9.4000,-0.00021743774,nan,0.0016931187
29,1,5,9.6000,-6.8664551e-05,nan,0.0016582814
29,1,5,9.8000,0.00011062622,nan,0.0016152553
29,1,5,10.0000,0,nan,0.0015666445
