,E,F,R,phi
27,-11.64436149597168,"[[-8.2661025e-04 -9.8896693e-05  5.5753040e-05]
 [ 8.2662964e-04 -9.9187833e-05 -5.5346929e-05]
 [-5.9504504e-04  9.9044606e-05  1.4045270e-03]
 [ 5.9502566e-04  9.9039920e-05 -1.4049330e-03]]","[[-4.96170961e-02 -1.16761196e-02  1.66528138e-03]
 [ 4.96170955e-02 -1.16761057e-02  1.47833470e+00]
 [ 8.48078470e-01  5.28830455e-01 -2.31779056e-01]
 [-8.48078470e-01  5.28830455e-01  1.71177908e+00]]",118.655826192649
28,-11.645589828491211,"[[-4.1293408e-04 -4.8500769e-05  2.8113618e-05]
 [ 4.1293504e-04 -4.8513481e-05 -2.8095707e-05]
 [-2.9657222e-04  4.8507205e-05  6.9784629e-04]
 [ 2.9657126e-04  4.8507045e-05 -6.9786422e-04]]","[[-5.02487538e-02 -1.11237512e-02  1.70800694e-03]
 [ 5.02487527e-02 -1.11237467e-02  1.47829199e+00]
 [ 8.52048473e-01  5.21460738e-01 -2.32203137e-01]
 [-8.52048472e-01  5.21460738e-01  1.71220315e+00]]",119.655826192649
29,-11.643515586853027,"[[-2.6254152e-04 -3.0246743e-05  1.8063367e-05]
 [ 2.6254440e-04 -3.0282186e-05 -1.8012881e-05]
 [-1.8817396e-04  3.0264629e-05  4.4122926e-04]
 [ 1.8817108e-04  3.0264300e-05 -4.4127973e-04]]","[[-0.05072243 -0.01054604  0.0017404 ]
 [ 0.05072243 -0.01054604  1.4782596 ]
 [ 0.85611553  0.51405802 -0.23264482]
 [-0.85611553  0.51405802  1.71264482]]",120.655826192649
30,-11.643998146057129,"[[-0.00247071 -0.00027965  0.00017089]
 [ 0.00247071 -0.00027968 -0.00017085]
 [-0.00176761  0.00027966  0.00412974]
 [ 0.0017676   0.00027966 -0.00412978]]","[[-0.05105418 -0.0099557   0.00176327]
 [ 0.05105418 -0.00995571  1.47823673]
 [ 0.86026814  0.50661491 -0.23307151]
 [-0.86026814  0.50661491  1.71307151]]",121.655826192649
31,-11.642669677734375,"[[ 1.09232846e-03  1.20592675e-04 -7.64832366e-05]
 [-1.09233242e-03  1.20633427e-04  7.64238575e-05]
 [ 7.80632312e-04 -1.20613113e-04 -1.81631173e-03]
 [-7.80628412e-04 -1.20612989e-04  1.81637111e-03]]","[[-0.05166711 -0.00941498  0.00180592]
 [ 0.05166711 -0.00941499  1.47819409]
 [ 0.86420218  0.4991637  -0.23278334]
 [-0.86420218  0.4991637   1.71278333]]",122.655826192649
32,-11.643235206604004,"[[ 6.6087785e-04  7.1476228e-05 -4.6517718e-05]
 [-6.6088268e-04  7.1522474e-05  4.6449521e-05]
 [ 4.7175956e-04 -7.1499344e-05 -1.0930564e-03]
 [-4.7175476e-04 -7.1499351e-05  1.0931246e-03]]","[[-0.05192031 -0.00882745  0.00182368]
 [ 0.05192031 -0.00882746  1.47817633]
 [ 0.86837409  0.49165684 -0.23285619]
 [-0.86837409  0.49165684  1.71285618]]",123.655826192649
33,-11.643350601196289,"[[-0.00158326 -0.00016806  0.00011166]
 [ 0.00158329 -0.00016827 -0.00011136]
 [-0.0011289   0.00016817  0.00260464]
 [ 0.00112888  0.00016817 -0.00260495]]","[[-0.05199079 -0.00826248  0.00182865]
 [ 0.0519908  -0.0082625   1.47817137]
 [ 0.87263523  0.48405939 -0.23309015]
 [-0.87263523  0.48405939  1.71309013]]",124.655826192649
34,-11.642377853393555,"[[-3.6531236e-04 -3.7992802e-05  2.5685902e-05]
 [ 3.6529725e-04 -3.7866266e-05 -2.5877169e-05]
 [-2.6039578e-04  3.7929945e-05  5.9797836e-04]
 [ 2.6041089e-04  3.7929123e-05 -5.9778709e-04]]","[[-0.05209622 -0.00752006  0.00183607]
 [ 0.05209622 -0.00752005  1.47816392]
 [ 0.87691894  0.47664956 -0.23270933]
 [-0.87691895  0.47664956  1.71270934]]",125.655826192649
35,-11.642090797424316,"[[-1.06830662e-03 -1.08540844e-04  7.50959225e-05]
 [ 1.06830837e-03 -1.08554937e-04 -7.50743347e-05]
 [-7.61816569e-04  1.08547829e-04  1.73920055e-03]
 [ 7.61814823e-04  1.08547960e-04 -1.73922209e-03]]","[[-0.05188231 -0.00693257  0.00182102]
 [ 0.05188231 -0.00693259  1.478179  ]
 [ 0.88150199  0.46902872 -0.23217802]
 [-0.88150199  0.46902872  1.71217799]]",126.655826192649
36,-11.641902923583984,"[[ 5.0393975e-04  5.0040744e-05 -3.6236201e-05]
 [-5.0392112e-04  4.9904465e-05  3.6447796e-05]
 [ 3.5803905e-04 -4.9973434e-05 -8.1714086e-04]
 [-3.5805767e-04 -4.9971775e-05  8.1692927e-04]]","[[-0.05322841 -0.00767031  0.00191685]
 [ 0.05322841 -0.00767031  1.47808315]
 [ 0.884045    0.46007333 -0.23310527]
 [-0.88404499  0.46007333  1.71310528]]",127.655826192649
