,E,F,R,phi,fn
23,-11.607559204101562,"[[-2.3727541e-04  2.8604511e-03  3.9321883e-03]
 [ 4.5714763e-04 -2.9656454e-03  3.8787462e-03]
 [-3.9789456e-04  1.3529437e-04 -3.2604984e-03]
 [ 1.7802234e-04 -3.0100084e-05 -4.5504360e-03]]","[[-0.04528922 -0.01201893  0.00311309]
 [ 0.04548242 -0.01474999  1.48032433]
 [ 0.83327469  0.5581543  -0.2325326 ]
 [-0.83317329  0.55813953  1.70893467]]",114.655826192649,hper_a.xyz
24,-11.612105369567871,"[[-0.00220129 -0.00104546 -0.00090258]
 [ 0.00211603  0.00049316 -0.00116983]
 [-0.00151214  0.00025821  0.00475267]
 [ 0.0015974   0.00029409 -0.00268026]]","[[-0.04617631 -0.01135089  0.00351526]
 [ 0.04639621 -0.01454646  1.48061381]
 [ 0.83709297  0.55083827 -0.23371812]
 [-0.83706272  0.55081723  1.70944816]]",115.655826192649,hper_a.xyz
25,-11.608480453491211,"[[-0.00137102  0.00094413  0.00163521]
 [ 0.00148069 -0.00130987  0.001448  ]
 [-0.00110079  0.00020764  0.00092518]
 [ 0.00099112  0.00015811 -0.00400839]]","[[-0.04722726 -0.01110389  0.0033818 ]
 [ 0.04745717 -0.01398394  1.48034712]
 [ 0.84081651  0.54349598 -0.2338906 ]
 [-0.84078753  0.54348422  1.71002417]]",116.655826192649,hper_a.xyz
26,-11.609292030334473,"[[-5.7409052e-04  3.0642893e-04  5.6625111e-04]
 [ 6.1578059e-04 -4.5562442e-04  4.8696200e-04]
 [-4.5525364e-04  8.1766375e-05  4.9593201e-04]
 [ 4.1356363e-04  6.7429093e-05 -1.5491451e-03]]","[[-0.04810775 -0.01054745  0.00357486]
 [ 0.04835973 -0.01358424  1.48042448]
 [ 0.84461161  0.53616569 -0.23445422]
 [-0.84462982  0.53615411  1.7103339 ]]",117.655826192649,hper_a.xyz
27,-11.60959529876709,"[[-0.00129945 -0.00043738 -0.00030887]
 [ 0.0012519   0.00013015 -0.0004768 ]
 [-0.00088952  0.00014994  0.00255483]
 [ 0.00093707  0.00015729 -0.00176916]]","[[-0.04881744 -0.00990718  0.00381349]
 [ 0.04910978 -0.01319124  1.48056651]
 [ 0.84850741  0.5288113  -0.23512474]
 [-0.84856382  0.52879835  1.71063247]]",118.655826192649,hper_a.xyz
28,-11.609354972839355,"[[ 0.0014141   0.00146091  0.00175564]
 [-0.00121127 -0.00115755  0.00192823]
 [ 0.00082448 -0.00013639 -0.00404081]
 [-0.0010273  -0.00016697  0.00035694]]","[[-0.04973539 -0.0097133   0.00346378]
 [ 0.0500142  -0.0123954   1.48009604]
 [ 0.85229871  0.52144799 -0.23466034]
 [-0.85231884  0.52144313  1.71099092]]",119.655826192649,hper_a.xyz
29,-11.608616828918457,"[[-0.00164254  0.00066805  0.00135789]
 [ 0.00177386 -0.00107001  0.00112163]
 [-0.00130189  0.00020885  0.00164482]
 [ 0.00117057  0.00019311 -0.00412434]]","[[-0.05013405 -0.00896544  0.00375184]
 [ 0.05044838 -0.01196647  1.48032699]
 [ 0.85636917  0.5140462  -0.23543781]
 [-0.85645982  0.51403999  1.71127216]]",120.655826192649,hper_a.xyz
30,-11.608772277832031,"[[ 0.00107729 -0.00020269 -0.00055206]
 [-0.0011284   0.00045481 -0.00039843]
 [ 0.00081942 -0.00012825 -0.00137369]
 [-0.00076831 -0.00012388  0.00232418]]","[[-0.05079511 -0.0083918   0.00388872]
 [ 0.05113001 -0.0114713   1.48037163]
 [ 0.8602531   0.50662654 -0.23537725]
 [-0.86039071  0.50661958  1.71105051]]",121.655826192649,hper_a.xyz
31,-11.608284950256348,"[[ 8.2473108e-04  2.1227987e-03  2.9584807e-03]
 [-4.2215473e-04 -1.9957938e-03  3.0379696e-03]
 [ 2.1769745e-04 -5.8655154e-05 -4.0046619e-03]
 [-6.2027382e-04 -6.8349917e-05 -1.9917886e-03]]","[[-0.05119687 -0.00805362  0.00359089]
 [ 0.05150828 -0.01065208  1.48002067]
 [ 0.86436047  0.49916266 -0.23512934]
 [-0.86447742  0.49915697  1.71146371]]",122.655826192649,hper_a.xyz
32,-11.608158111572266,"[[ 3.7855578e-05  1.4638963e-04  2.1150341e-04]
 [-7.5833209e-06 -1.4239609e-04  2.1410445e-04]
 [-1.0834780e-06 -2.0806208e-06 -2.4793120e-04]
 [-2.9188779e-05 -1.9129147e-06 -1.7767667e-04]]","[[-0.05153724 -0.00729706  0.00391709]
 [ 0.05191167 -0.01027675  1.48029423]
 [ 0.86841711  0.49166368 -0.23529646]
 [-0.86858924  0.49165597  1.71103774]]",123.655826192649,hper_a.xyz
33,-11.609128952026367,"[[ 7.1151863e-04 -1.3750254e-03 -2.2634126e-03]
 [-1.0351508e-03  1.5698938e-03 -2.1345343e-03]
 [ 8.0635212e-04 -9.2508446e-05  7.3761126e-04]
 [-4.8271994e-04 -1.0236006e-04  3.6603357e-03]]","[[-0.05183443 -0.00681153  0.00390394]
 [ 0.05221877 -0.00970494  1.48023878]
 [ 0.87250633  0.48408095 -0.23509329]
 [-0.87270105  0.48407396  1.71090452]]",124.655826192649,hper_a.xyz
34,-11.607842445373535,"[[ 6.07495213e-06  9.89667096e-05  1.51557237e-04]
 [ 1.77361362e-05 -1.00783465e-04  1.50376422e-04]
 [-1.74329743e-05  2.54582062e-07 -1.39888740e-04]
 [-6.37811536e-06  1.56217482e-06 -1.62044918e-04]]","[[-0.051865   -0.00618866  0.00375087]
 [ 0.05223272 -0.00883883  1.48008303]
 [ 0.87684744  0.47665397 -0.2346965 ]
 [-0.87704223  0.47664675  1.71084865]]",125.655826192649,hper_a.xyz
35,-11.609108924865723,"[[ 1.8559193e-04  5.1644840e-04  7.6693168e-04]
 [-5.6849458e-05 -4.9511186e-04  7.8207284e-04]
 [ 1.4677280e-05 -1.5462707e-05 -9.6361811e-04]
 [-1.4341975e-04 -5.8738206e-06 -5.8538641e-04]]","[[-0.0517001  -0.00554742  0.00386457]
 [ 0.05208805 -0.00832414  1.48021829]
 [ 0.88136574  0.46904025 -0.23415984]
 [-0.88160728  0.46902638  1.71011055]]",126.655826192649,hper_a.xyz
36,-11.602422714233398,"[[ 1.31605542e-03  3.40340572e-04  1.11841284e-04]
 [-1.20616751e-03 -8.56219704e-05  5.00945724e-04]
 [ 6.78615470e-04 -1.28962361e-04 -2.43598665e-03]
 [-7.88503385e-04 -1.25756254e-04  1.82319956e-03]]","[[-0.11324107 -0.02793665  0.00295075]
 [ 0.11175373 -0.02396452  1.46574314]
 [ 0.79668049  0.44668928 -0.31212691]
 [-0.80875148  0.43679541  1.7704912 ]]",127.655826192649,hper_a.xyz
